farm_id,region,crop_type,soil_moisture,soil_pH,temperature,rainfall,humidity,sunlight_hours,irrigation_amount,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,day_of_week,month,season,soil_moisture_lag_1,soil_moisture_lag_3,soil_moisture_lag_7,soil_moisture_roll_mean_7,soil_moisture_roll_std_7,soil_moisture_roll_mean_14,soil_moisture_roll_std_14,temperature_lag_1,temperature_lag_3,temperature_lag_7,temperature_roll_mean_7,temperature_roll_std_7,temperature_roll_mean_14,temperature_roll_std_14,humidity_lag_1,humidity_lag_3,humidity_lag_7,humidity_roll_mean_7,humidity_roll_std_7,humidity_roll_mean_14,humidity_roll_std_14,rainfall_lag_1,rainfall_lag_3,rainfall_lag_7,rainfall_roll_mean_7,rainfall_roll_std_7,rainfall_roll_mean_14,rainfall_roll_std_14,crop_type_encoded
FARM0273,North India,Cotton,0.13009764503159105,0.8442211055276383,0.472782258064516,0.6520358535310906,0.18022905364677522,0.38564273789649417,0.0,Organic,0.16306527066161727,2024-01-02,2024-04-27,0.43333333333333335,0.7634732422076468,SENS0273,2024-01-03,0.9261067094233771,0.9505334500307439,0.21666666666666662,Mild,0.3333333333333333,0.0,0.0,0.13009764503159105,0.13009764503159105,0.13009764503159105,0.06315699023286458,0.0,0.07137539248373426,0.0,0.472782258064516,0.472782258064516,0.472782258064516,0.5244412573204253,0.0,0.466567361800728,0.0,0.18022905364677522,0.18022905364677522,0.18022905364677522,0.0,0.0,0.0,0.0,0.6520358535310906,0.6520358535310906,0.6520358535310906,0.7003957302298605,0.0,0.8258399344441412,0.0,0.0
FARM0439,South India,Rice,0.039632395175186685,0.512562814070352,0.8220766129032255,0.3235660597290888,0.6250753465943341,0.6243739565943238,0.0,Inorganic,0.12007128536422365,2024-01-04,2024-04-25,0.3666666666666667,0.319495915445829,SENS0439,2024-01-05,0.4023352735493142,0.31568300029841945,0.38333333333333336,Severe,0.6666666666666666,0.0,0.0,0.13009764503159105,0.13009764503159105,0.13009764503159105,0.0,0.12173009668033544,0.0,0.12173009668033544,0.472782258064516,0.472782258064516,0.472782258064516,0.8143301063702642,0.626178541313615,0.8680072823568352,0.6702568951674848,0.18022905364677522,0.18022905364677522,0.18022905364677522,0.3905155470442978,0.7155316641929197,0.4370435125912975,0.7989716545468306,0.6520358535310906,0.6520358535310906,0.6520358535310906,0.43281473650728297,0.5234253290934086,0.379404534280251,0.5839040026410823,0.5
FARM0398,Central USA,Maize,0.9916714531878231,0.30150753768844263,0.4899193548387095,0.7943647252703085,0.1382358850713281,0.5893155258764609,0.0,Inorganic,0.8901759857429272,2024-01-06,2024-05-27,0.8666666666666667,0.7384350635137481,SENS0398,2024-01-06,0.12226927919476294,0.3481373811579078,0.8666666666666665,Severe,0.8333333333333333,0.0,0.0,0.039632395175186685,0.13009764503159105,0.13009764503159105,0.42204909346088837,1.0,0.476968892629398,1.0,0.8220766129032255,0.472782258064516,0.472782258064516,0.7271821839767338,0.49920348177586804,0.7473242855566586,0.534343727349662,0.6250753465943341,0.18022905364677522,0.18022905364677522,0.23576744107913794,0.6136660586817593,0.2638579472284106,0.6852272384021343,0.3235660597290888,0.6520358535310906,0.6520358535310906,0.5993052112276371,0.5441384022281706,0.6571792770645548,0.607010347783632,0.25
FARM0341,South USA,Cotton,0.33744974152785767,0.9095477386934676,0.10332661290322587,0.15462840146308138,0.21760096443640753,0.1869782971619366,0.0,Inorganic,0.46045889953218977,2024-01-04,2024-05-25,0.8666666666666667,0.12613938556832782,SENS0341,2024-01-08,0.4797843945267397,0.3110096796095312,0.36666666666666664,Severe,0.0,0.0,0.0,0.9916714531878231,0.13009764503159105,0.13009764503159105,0.4047059834445622,0.8178639607542721,0.4573689832648171,0.8178639607542721,0.4899193548387095,0.472782258064516,0.472782258064516,0.5231863272379584,0.744627844412759,0.4648295266468052,0.797044156135315,0.1382358850713281,0.18022905364677522,0.18022905364677522,0.19322935040064526,0.5130371291644794,0.21625165674966862,0.5728637102242669,0.7943647252703085,0.6520358535310906,0.6520358535310906,0.42197659297789336,0.6618470173217779,0.3613220431576072,0.7383194909952141,0.0
FARM0246,Central USA,Cotton,0.5379092475588744,0.8040201005025129,0.44556451612903225,0.3668957755536798,0.2563793449869399,0.3021702838063439,0.0,Mixed,0.8162174203608822,2024-01-12,2024-04-29,0.30000000000000004,0.46625305366653835,SENS0246,2024-01-13,0.6882254790832377,0.4916218202793128,0.75,Moderate,0.8333333333333333,0.0,0.0,0.33744974152785767,0.039632395175186685,0.13009764503159105,0.4502792656030705,0.721779239857043,0.5088725601268895,0.721779239857043,0.10332661290322587,0.8220766129032255,0.472782258064516,0.5144018166606905,0.6455641770962043,0.4526646805693475,0.6910071368209725,0.21760096443640753,0.6250753465943341,0.18022905364677522,0.1813233886005139,0.445640052477093,0.20292715941456807,0.4976072868299524,0.15462840146308138,0.3235660597290888,0.6520358535310906,0.384747078799899,0.5846282536223274,0.29920786670308663,0.6521785599072981,0.0
FARM0099,East Africa,Soybean,0.22400919012062037,0.045226130653266416,0.484375,0.5261063547570242,0.7199115933293149,0.7746243739565943,0.0,Organic,0.8224548897304522,2024-01-02,2024-05-07,0.6000000000000001,0.9483059226664451,SENS0099,2024-01-16,0.1907879270159355,0.4406570638317473,0.4166666666666667,Severe,0.16666666666666666,0.0,0.0,0.5379092475588744,0.9916714531878231,0.13009764503159105,0.4076132099790909,0.6611053026348129,0.46065451720454464,0.6611053026348129,0.44556451612903225,0.4899193548387095,0.472782258064516,0.5192821003147285,0.5776987704497101,0.45942292839015764,0.6183645057708353,0.2563793449869399,0.1382358850713281,0.18022905364677522,0.30902585294562335,0.5684402690802551,0.34584473083105394,0.6347275529872926,0.3668957755536798,0.7943647252703085,0.6520358535310906,0.4031599167999802,0.5266156623844339,0.32992807065464813,0.5874629599074709,0.75
FARM0013,South USA,Maize,0.9267662263067203,0.78391959798995,0.287298387096774,0.6993046344306445,0.7293550331525015,0.7829716193656093,0.0,Organic,0.18935174871909113,2024-01-02,2024-05-08,0.6166666666666667,0.7344876255745673,SENS0013,2024-01-17,0.7484858244017526,0.056243278048936585,0.5833333333333333,Mild,0.3333333333333333,0.0,0.0,0.22400919012062037,0.33744974152785767,0.13009764503159105,0.5173144673903706,0.7215896527763583,0.5846308225164276,0.7215896527763583,0.484375,0.10332661290322587,0.472782258064516,0.4760368112824189,0.555566310135679,0.3995365772922872,0.5946740833852647,0.7199115933293149,0.21760096443640753,0.18022905364677522,0.40261049236506596,0.6100659315241029,0.4505795098840979,0.6812072911437888,0.5261063547570242,0.15462840146308138,0.6520358535310906,0.4566240375709838,0.5190232515153171,0.41912826315994867,0.5789932912656199,0.25
FARM0049,East Africa,Wheat,0.616025272831706,0.23115577889447225,0.6900201612903225,0.28807427951284226,0.22382961623467945,0.08848080133555924,0.0,Mixed,0.7046112719982179,2024-01-15,2024-04-24,0.16666666666666674,0.6924847725505884,SENS0049,2024-01-18,0.04586290553241812,0.7962619442936769,0.3,Moderate,0.5,0.0,0.0,0.9267662263067203,0.5379092475588744,0.13009764503159105,0.6142411136252971,0.6723527674109524,0.6163208493833554,0.6767506535725449,0.287298387096774,0.44556451612903225,0.472782258064516,0.527548703238915,0.6046152462453037,0.47033267130089396,0.5991709663043934,0.7293550331525015,0.2563793449869399,0.18022905364677522,0.4135463387592606,0.5969427165924063,0.4049660190067961,0.6523536173613231,0.6993046344306445,0.3668957755536798,0.6520358535310906,0.37191157347204173,0.5227859850679321,0.3462988254575252,0.5688911711530654,1.0
FARM0149,South India,Soybean,0.6053991958644458,0.18592964824120584,0.3951612903225805,0.6486193174966841,0.7828008840667068,0.7929883138564273,0.0,Inorganic,0.3856092670973491,2024-01-16,2024-05-25,0.6666666666666665,0.5917785610594933,SENS0149,2024-01-19,0.9876100239545625,0.9342368870632112,0.13333333333333336,Severe,0.6666666666666666,0.0,0.0,0.616025272831706,0.22400919012062037,0.039632395175186685,0.727093059891731,0.5350945653212433,0.6391055866665227,0.6383867738092663,0.6900201612903225,0.484375,0.8220766129032255,0.4263176765865899,0.4638260098156517,0.4500901099709438,0.5650401524379804,0.22382961623467945,0.7199115933293149,0.6250753465943341,0.45310688907927266,0.6570173872254712,0.4915259016948199,0.6964573205564039,0.28807427951284226,0.5261063547570242,0.3235660597290888,0.4475680833746529,0.5293001559945986,0.39854927311906296,0.5515423038817248,0.75
FARM0497,North India,Soybean,0.6909821941412981,0.6231155778894473,0.123991935483871,0.8282487238233052,0.0986538075145671,0.2954924874791319,0.0,Organic,0.0,2024-01-01,2024-04-14,0.2333333333333334,0.4239231344015819,SENS0497,2024-01-19,0.3534613125332102,0.2862476141454886,0.9166666666666665,Severe,0.6666666666666666,0.0,0.0,0.6053991958644458,0.9267662263067203,0.9916714531878231,0.6671154011399764,0.4392866046199531,0.6708380539280743,0.6139220459620693,0.3951612903225805,0.287298387096774,0.4899193548387095,0.3395482251703117,0.5275453033836096,0.37156570671962896,0.6080632500666019,0.7828008840667068,0.7293550331525015,0.1382358850713281,0.44317895479514235,0.6732876250540246,0.42634443473111316,0.7086280263249536,0.6486193174966841,0.6993046344306445,0.7943647252703085,0.45545462199811015,0.5459461863195363,0.4891778202676864,0.5836541497625676,0.75
