farm_id,region,crop_type,soil_moisture,soil_pH,temperature,rainfall,humidity,sunlight_hours,irrigation_amount,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,day_of_week,month,season,soil_moisture_lag_1,soil_moisture_lag_3,soil_moisture_lag_7,soil_moisture_roll_mean_7,soil_moisture_roll_std_7,soil_moisture_roll_mean_14,soil_moisture_roll_std_14,temperature_lag_1,temperature_lag_3,temperature_lag_7,temperature_roll_mean_7,temperature_roll_std_7,temperature_roll_mean_14,temperature_roll_std_14,humidity_lag_1,humidity_lag_3,humidity_lag_7,humidity_roll_mean_7,humidity_roll_std_7,humidity_roll_mean_14,humidity_roll_std_14,rainfall_lag_1,rainfall_lag_3,rainfall_lag_7,rainfall_roll_mean_7,rainfall_roll_std_7,rainfall_roll_mean_14,rainfall_roll_std_14,crop_type_encoded,predicted_irrigation_amount
FARM0359,East Africa,Cotton,0.419586444572085,0.9045226130653266,0.2036290322580645,0.2733630772941035,0.024713682941531,0.7896494156928213,0.0,Mixed,0.5509022053909557,2024-03-28,2024-06-28,0.0333333333333332,0.9639874909742296,SENS0359,2024-05-29,0.7827751755915217,0.0544026901823961,0.8999999999999999,Moderate,0.3333333333333333,0.5714285714285714,0.5,0.4580700746697301,0.4259046524985641,0.2234348075818496,0.6031277747543894,0.3493352051374834,0.6519276211439482,0.4410243361155209,0.2671370967741935,0.4153225806451612,0.4783266129032257,0.3733715788215606,0.507434649049652,0.6091525984773254,0.7449172022361884,0.2463331324090819,0.2407072533654811,0.7850110508338356,0.2020359824623294,0.565206718403252,0.4036265192746961,0.7629321668810026,0.8932834921017729,0.056031190964267,0.517665501024961,0.576727694567363,0.7213040050483691,0.6160143598548407,0.6822485629261978,0.0,0.0004232
FARM0187,East Africa,Maize,0.4106835152211373,0.8693467336683418,0.1522177419354838,0.9965030748824312,0.3395619851316055,0.986644407345576,0.0,Organic,0.3161060369792826,2024-03-06,2024-07-23,0.8166666666666664,0.0753988321219303,SENS0187,2024-05-30,0.6314366876019527,0.176070755482208,0.6333333333333333,,0.5,0.5714285714285714,0.5,0.419586444572085,0.4210224009190121,0.8604250430786905,0.5134190702603615,0.200343541473961,0.6118538180170263,0.4172193052521856,0.2036290322580645,0.2777217741935485,0.3765120967741935,0.3201864467551092,0.5533619719291489,0.533680900364117,0.7911432279750343,0.024713682941531,0.7538677918424753,0.3928069117942535,0.1886811470039815,0.5591060247787465,0.4357745128450974,0.7373538985018575,0.2733630772941035,0.6832268177981432,0.9458177579484708,0.588524758866509,0.7442204325577528,0.6637062473172828,0.731259628438826,0.25,0.0004337
FARM0327,South India,Maize,0.2352096496266514,0.1105527638190957,0.4823588709677417,0.9430443345793644,0.578259995981515,0.9582637729549248,0.0,Mixed,0.7616395633771442,2024-02-12,2024-07-08,0.9500000000000002,0.2631298226546205,SENS0327,2024-05-30,0.2772274555988625,0.0624559630840968,0.35,Severe,0.5,0.5714285714285714,0.5,0.4106835152211373,0.4580700746697301,0.6803561171740381,0.4246269297969237,0.1423116949127167,0.619784417181886,0.404089201328607,0.1522177419354838,0.2671370967741935,0.3256048387096775,0.35735628062627,0.5662778468499433,0.4828699106256207,0.7580613350080909,0.3395619851316055,0.2463331324090819,0.0377737592927466,0.3242453258075894,0.5436490019444288,0.4272299145540166,0.7287450929619003,0.9965030748824312,0.8932834921017729,0.6315366373246514,0.6610285243846536,0.8060185882989138,0.7079876692550828,0.7651180598518122,0.25,0.000397
FARM0423,South India,Soybean,0.9686961516369904,0.8844221105527637,0.2106854838709677,0.081112584910969,0.4681535061281897,0.662771285475793,0.0,Organic,0.5087992871463578,2024-03-25,2024-07-25,0.5333333333333332,0.3707170046770471,SENS0423,2024-05-30,0.4645195667359884,0.3212738109782358,0.3666666666666666,Severe,0.5,0.5714285714285714,0.5,0.2352096496266514,0.419586444572085,0.352383687535899,0.5475610803998511,0.4353487224786592,0.621435276599877,0.4089389623972813,0.4823588709677417,0.2036290322580645,0.8064516129032258,0.2160870084857173,0.3036195165267905,0.3532770605759681,0.6612459321414675,0.578259995981515,0.024713682941531,0.3709061683745228,0.3486367988711387,0.5509548595017446,0.475874904825019,0.7010317410558874,0.9430443345793644,0.2733630772941035,0.5496603561236385,0.5519735057207811,0.9332647494569531,0.5408046201272099,0.8005662878272319,0.75,0.0004296
FARM0158,South USA,Wheat,0.5792647903503734,0.5025125628140703,0.6421370967741933,0.3955946782426948,0.5899136025718305,0.0601001669449081,0.0,Organic,0.2913789262642013,2024-02-26,2024-06-20,0.4166666666666667,0.6992525278446585,SENS0158,2024-05-30,0.3263783482017744,0.4523928643673001,0.2333333333333333,Mild,0.5,0.5714285714285714,0.5,0.9686961516369904,0.4106835152211373,0.4259046524985641,0.5781514049208031,0.4384430681123701,0.6323762664681318,0.4121384301221375,0.2106854838709677,0.1522177419354838,0.4153225806451612,0.2698697263057248,0.4491946162833322,0.4125289639192315,0.6690250961797527,0.4681535061281897,0.3395619851316055,0.2407072533654811,0.4362243612357004,0.5572419700561161,0.4265813146837369,0.6061882128100261,0.081112584910969,0.9965030748824312,0.056031190964267,0.6310072877978501,0.8151053940535093,0.5595114527646621,0.7885880325869563,1.0,0.0004103
FARM0085,Central USA,Wheat,0.0758184951177484,0.6582914572864325,0.3089717741935482,0.6048876562562805,0.4235483222824995,0.6894824707846412,0.0,Inorganic,0.0414346179550011,2024-02-20,2024-06-16,0.4499999999999999,0.2703730819451886,SENS0085,2024-05-31,0.948596420876438,0.0741443469518143,0.6333333333333333,Moderate,0.6666666666666666,0.5714285714285714,0.5,0.5792647903503734,0.2352096496266514,0.4210224009190121,0.509294532122705,0.5351119749384496,0.5982261353704721,0.4600368768631186,0.6421370967741933,0.4823588709677417,0.2777217741935485,0.2772797896498149,0.4470807214056482,0.3536080767957625,0.6530480848090311,0.5899136025718305,0.578259995981515,0.7538677918424753,0.3533739857884395,0.4537667271505363,0.4601393079721383,0.5859082254420485,0.3955946782426948,0.9430443345793644,0.6832268177981432,0.6127737601856096,0.8118280078246017,0.5844382877433956,0.7871663236731289,1.0,0.000404
FARM0164,South USA,Maize,0.1760482481332567,0.316582914572864,0.220766129032258,0.8994332569637045,0.7775768535262207,0.0567612687813021,0.0,Mixed,0.3570951214078859,2024-03-08,2024-06-16,0.1666666666666667,0.0948441780951159,SENS0164,2024-05-31,0.2412022073813619,0.5334385145514591,0.7833333333333332,,0.6666666666666666,0.5714285714285714,0.5,0.0758184951177484,0.9686961516369904,0.4580700746697301,0.4530404147452239,0.5697489505067276,0.5746932962159712,0.4817836145873217,0.3089717741935482,0.2106854838709677,0.2671370967741935,0.2662842117843909,0.4555136308445361,0.2283184376034421,0.4984256191372152,0.4235483222824995,0.4681535061281897,0.2463331324090819,0.4866199667389008,0.5391408244742577,0.4920617015876596,0.6306890984371566,0.6048876562562805,0.081112584910969,0.8932834921017729,0.6142051248468066,0.8137343807362106,0.6982089202793931,0.7951953022826244,0.25,0.0004036
FARM0409,East Africa,Maize,0.3842619184376795,0.8391959798994972,0.818548387096774,0.9879014429840428,0.120755475185855,0.3689482470784639,0.0,Inorganic,0.0082423702383604,2024-03-01,2024-07-17,0.7999999999999998,0.2769949153778999,SENS0409,2024-05-31,0.1915159484088104,0.8164276472720648,0.6333333333333333,Mild,0.6666666666666666,0.5714285714285714,0.5,0.1760482481332567,0.5792647903503734,0.419586444572085,0.4459943287600607,0.5699316151350478,0.5928203800213641,0.4675354788534286,0.220766129032258,0.6421370967741933,0.2036290322580645,0.412095135651966,0.6363953620236469,0.2841774246938096,0.5927945975790158,0.7775768535262207,0.5899136025718305,0.024713682941531,0.5107090661694305,0.4752010508614139,0.3988325202334959,0.6061932837806144,0.8994332569637045,0.3955946782426948,0.2733630772941035,0.780514729958556,0.7990789096670317,0.7895110625512161,0.8319786731517549,0.25,0.0003762
FARM0225,North India,Rice,0.446869615163699,0.9949748743718594,0.8744959677419355,0.1707062180955826,0.8296162346795258,0.6010016694490818,0.0,Mixed,0.6600579193584317,2024-02-06,2024-06-21,0.7666666666666666,0.6840213045917584,SENS0225,2024-06-01,0.5969059170875558,0.0679373699421388,0.3833333333333333,Mild,0.8333333333333333,0.7142857142857142,1.0,0.3842619184376795,0.0758184951177484,0.4106835152211373,0.4532122705009594,0.5707705438618089,0.5462078788074969,0.4131553155314398,0.818548387096774,0.3089717741935482,0.1522177419354838,0.5833632126210109,0.7019197730845449,0.3659384309831184,0.6872444662862809,0.120755475185855,0.4235483222824995,0.3395619851316055,0.6336239479917356,0.5405072616989341,0.4601393079721383,0.6779095334521472,0.9879014429840428,0.6048876562562805,0.9965030748824312,0.5883095864011003,0.8488096545263962,0.6390135404066026,0.8555268690327715,0.5,0.0003362
FARM0041,South USA,Wheat,0.466398621481907,0.3015075376884426,0.4057459677419355,0.2728807427951285,0.5378742214185251,0.4373956594323873,0.0,Inorganic,0.7351303185564714,2024-03-09,2024-06-08,0.0166666666666666,0.085980682964629,SENS0041,2024-06-03,0.8365488679155241,0.575006509151867,0.95,Moderate,0.0,0.7142857142857142,1.0,0.446869615163699,0.1760482481332567,0.2352096496266514,0.4993268982900353,0.5520903700717852,0.5220923833878224,0.3909176011807856,0.8744959677419355,0.220766129032258,0.4823588709677417,0.5651966057129196,0.708756480337227,0.37909632571996,0.6828580240183302,0.8296162346795258,0.7775768535262207,0.578259995981515,0.6234944312855923,0.539227673772587,0.5303290939341809,0.6227859313797244,0.1707062180955826,0.8994332569637045,0.9430443345793644,0.4323282596289679,0.798825548595004,0.5693760486986383,0.8793046254531878,1.0,0.0003073
